"","sim147.X1","sim147.X2","sim147.X3","sim147.X4","sim147.X5","sim147.Country","sim147.score","sim147.rank","sim147.weight"
"1","SU WEIDE","SUN WEI","ZHANG BOHENG","SHI CONG","ZOU JINGYUAN","CHN",260.463,1,3
"2","CHIBA KENTA","DOI RYOSUKE","TANIGAWA WATARU","HASHIMOTO DAIKI","KAYA KAZUMA","JPN",259.63875,2,2
"3","MALONE BRODY","BOCK CAMERON","WALKER COLT","JUDA PAUL","HONG ASHER","USA",259.207,3,1
"4","HALL JAMES","REGINI GIARNNI","FRASER JOE","JARMAN JAKE","WHITLOCK MAX","GBR",257.009,4,0
"5","ASIL ADEM","OENDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","KOSAK MEHMET","TUR",251.1215,5,0
"6","MACCHINI CARLO","VANNUCCHI NICCOLO","CASALI LORENZO","SARRUGERIO MARCO","ABBADINI YUMIN","ITA",250.101,6,0
"7","BRENDEL PASCAL","HOERR CARLO","KOCHAN LUCAS","TREBING GLENN","DAUSER LUKAS","GER",249.473,7,0
"8","BAUMANN CHRISTIAN","SERHANI TAHA","FREY ANDRIN","LANGENEGGER FLORIAN","SEIFERT NOE","SUI",248.06,8,0
"9","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","RAMPERSAD JAYSON","CAN",248.02075,9,0
"10","ABAD NESTOR","MIR NICOLAU","DIALLO THIERNO","WILLIAMS JOSHUA","PLATA JOEL","ESP",244.48825,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","RADIVILOV IGOR","STELMAKH RADOMYR","UKR",241.50525,11,0
