"","sim118.X1","sim118.X2","sim118.X3","sim118.X4","sim118.X5","sim118.Country","sim118.score","sim118.rank","sim118.weight"
"1","BURKHART TAYLOR","MALONE BRODY","WISKUS SHANE","HONG ASHER","JUDA PAUL","USA",260.34525,1,3
"2","HASHIMOTO DAIKI","MINORI HARUKI","DOI RYOSUKE","KAYA KAZUMA","TANIGAWA WATARU","JPN",260.149,2,2
"3","SU WEIDE","ZHANG BOHENG","SHI CONG","YANG JIAXING","YOU HAO","CHN",258.53975,3,1
"4","HALL JAMES","KARNEJENKO PAVEL","REGINI GIARNNI","FRASER JOE","NATHAN JOSHUA","GBR",253.555,4,0
"5","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",253.3195,5,0
"6","ABBADINI YUMIN","VANNUCCHI NICCOLO","CASALI LORENZO","LEVANTESI MATTEO","LODADIO MARCO","ITA",249.98325,6,0
"7","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","CHEPURNYI NAZAR","UKR",249.90475,7,0
"8","SEIFERT NOE","TAMSEL DOMINIC","LANGENEGGER FLORIAN","RAUBAL IAN","SERHANI SAMIR","SUI",249.002,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",248.96275,9,0
"10","BRENDEL PASCAL","HOERR CARLO","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",248.41325,10,0
"11","ABAD NESTOR","MIR NICOLAU","WILLIAMS JOSHUA","DIALLO THIERNO","PLATA JOEL","ESP",241.466,11,0
