"","sim131.X1","sim131.X2","sim131.X3","sim131.X4","sim131.X5","sim131.Country","sim131.score","sim131.rank","sim131.weight"
"1","SHI CONG","SU WEIDE","ZHANG BOHENG","YIN DEHANG","LIU YANG","CHN",261.9545,1,3
"2","HASHIMOTO DAIKI","KAWAKAMI SHOHEI","MINAMI KAZUKI","KAYA KAZUMA","KAMOTO YUYA","JPN",260.42375,2,2
"3","MALONE BRODY","RICHARD FRED","WALKER COLT","GUIMARAES VITALIY","WHITTENBURG DONNELL","USA",257.67625,3,1
"4","FRASER JOE","REGINI GIARNNI","KARNEJENKO PAVEL","WHITLOCK MAX","TULLOCH COURTNEY","GBR",255.439,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","COLAK IBRAHIM","TUR",250.53275,5,0
"6","SEIFERT NOE","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","BAUMANN CHRISTIAN","SUI",249.944,6,0
"7","ABBADINI YUMIN","CASALI LORENZO","SARRUGERIO MARCO","MARESCA SALVATORE","BARTOLINI NICOLA","ITA",249.0805,7,0
"8","CHEPURNYI NAZAR","PAKHNIUK PETRO","STELMAKH RADOMYR","KOVTUN ILLIA","RADIVILOV IGOR","UKR",248.25625,8,0
"9","ABAD NESTOR","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",248.217,9,0
"10","DAUSER LUKAS","HOERR CARLO","HOSSEINI MILAN","SCHULTZE TOM","DUNKEL NILS","GER",246.647,10,0
"11","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",244.292,11,0
