"","sim23.X1","sim23.X2","sim23.X3","sim23.X4","sim23.X5","sim23.Country","sim23.score","sim23.rank","sim23.weight"
"1","KAYA KAZUMA","DOI RYOSUKE","TANIGAWA KAKERU","TANIGAWA WATARU","HASHIMOTO DAIKI","JPN",261.83675,1,3
"2","ZHANG BOHENG","SU WEIDE","YANG JIAXING","YIN DEHANG","LAN XINGYU","CHN",259.63875,2,2
"3","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WALKER COLT","GUIMARAES VITALIY","USA",257.75475,3,1
"4","FRASER JOE","REGINI GIARNNI","JARMAN JAKE","HALL JAMES","LEWIS JAMIE","GBR",255.32125,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","GUNDOGDU YUNUS","TUR",250.53275,5,0
"6","HOERR CARLO","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",249.316,6,0
"7","ABBADINI YUMIN","BARTOLINI NICOLA","MACCHIATI MARIO","CASALI LORENZO","MARESCA SALVATORE","ITA",248.7665,7,0
"8","ABAD NESTOR","MIR NICOLAU","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","ESP",247.70675,8,0
"9","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",247.07875,9,0
"10","BAUMANN CHRISTIAN","FREY ANDRIN","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SERHANI TAHA","SUI",245.7835,10,0
"11","CLAY ZACHARY","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","CAN",242.76125,11,0
