"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim1","MALONE BRODY","HONG ASHER","JUDA PAUL","CHOU J.R.","GUIMARAES VITALIY","258.69675","3","1"
"data.1","sim2","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","NEDOROSCIK STEPHEN","HONG ASHER","259.364","2","2"
"data.2","sim3","MALONE BRODY","WALKER COLT","HONG ASHER","SUN BLAKE","MOLDAUER YUL","257.166","3","1"
"data.3","sim4","MALONE BRODY","WALKER COLT","GUIMARAES VITALIY","YOUNG KHOI","WHITTENBURG DONNELL","259.01075","3","1"
"data.4","sim5","JUDA PAUL","MALONE BRODY","WALKER COLT","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","261.6405","1","3"
"data.5","sim6","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","YOUNG KHOI","BRIONES BRANDON","261.7975","2","2"
"data.6","sim7","MALONE BRODY","JUDA PAUL","WISKUS SHANE","GUIMARAES VITALIY","YOUNG KHOI","259.56025","2","2"
"data.7","sim8","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","WHITTENBURG DONNELL","MOLDAUER YUL","260.8555","2","2"
"data.8","sim9","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","WISKUS SHANE","HONG ASHER","257.794","3","1"
"data.9","sim10","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","YOUNG KHOI","MOLDAUER YUL","259.71725","2","2"
"data.10","sim11","JUDA PAUL","WALKER COLT","MOLDAUER YUL","RICHARD FRED","HONG ASHER","257.323","4","0"
"data.11","sim12","MALONE BRODY","RICHARD FRED","WISKUS SHANE","HONG ASHER","YOUNG KHOI","258.85375","3","1"
"data.12","sim13","MALONE BRODY","HALE DALLAS","WALKER COLT","GUIMARAES VITALIY","HONG ASHER","257.2445","3","1"
"data.13","sim14","MALONE BRODY","GUIMARAES VITALIY","CHOU J.R.","BRIONES BRANDON","WHITTENBURG DONNELL","257.12675","3","1"
"data.14","sim15","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","GUIMARAES VITALIY","257.637","3","1"
"data.15","sim16","RICHARD FRED","WISKUS SHANE","MOLDAUER YUL","YOUNG KHOI","MALONE BRODY","257.637","3","1"
"data.16","sim17","MALONE BRODY","BURKHART TAYLOR","HONG ASHER","NEDOROSCIK STEPHEN","BRIONES BRANDON","258.85375","2","2"
"data.17","sim18","JUDA PAUL","MALONE BRODY","SUN BLAKE","YOUNG KHOI","HONG ASHER","260.306","2","2"
"data.18","sim19","MALONE BRODY","JUDA PAUL","WISKUS SHANE","WALKER COLT","YOUNG KHOI","258.53975","2","2"
"data.19","sim20","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","LASIC IAN","YOUNG KHOI","258.38275","2","2"
"data.20","sim21","BRIONES BRANDON","MALONE BRODY","GUIMARAES VITALIY","JUDA PAUL","YOUNG KHOI","258.579","3","1"
"data.21","sim22","JUDA PAUL","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","SUN BLAKE","259.40325","3","1"
"data.22","sim23","MALONE BRODY","PHILLIPS CURRAN","MOLDAUER YUL","WALKER COLT","GUIMARAES VITALIY","257.75475","3","1"
"data.23","sim24","BRIONES BRANDON","MALONE BRODY","HONG ASHER","GUIMARAES VITALIY","PHILLIPS CURRAN","258.14725","3","1"
"data.24","sim25","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","259.5995","2","2"
"data.25","sim26","MALONE BRODY","RICHARD FRED","YOUNG KHOI","BOCK CAMERON","MOLDAUER YUL","259.521","2","2"
