"","sim13.X1","sim13.X2","sim13.X3","sim13.X4","sim13.X5","sim13.Country","sim13.score","sim13.rank","sim13.weight"
"1","DOI RYOSUKE","KAYA KAZUMA","TANIGAWA WATARU","CHIBA KENTA","SUGINO TAKAAKI","JPN",260.463,1,3
"2","SHI CONG","ZHANG BOHENG","YIN DEHANG","ZOU JINGYUAN","LAN XINGYU","CHN",260.3845,2,2
"3","MALONE BRODY","HALE DALLAS","WALKER COLT","GUIMARAES VITALIY","HONG ASHER","USA",257.2445,3,1
"4","FRASER JOE","HALL JAMES","JARMAN JAKE","WHITLOCK MAX","TULLOCH COURTNEY","GBR",256.1455,4,0
"5","ARICAN FERHAT","ASIL ADEM","COLAK IBRAHIM","OENDER AHMET","GUNDOGDU YUNUS","TUR",251.63175,5,0
"6","LEVANTESI MATTEO","MACCHINI CARLO","BARTOLINI NICOLA","CASALI LORENZO","LODADIO MARCO","ITA",249.8655,6,0
"7","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",248.09925,7,0
"8","BAUMANN CHRISTIAN","SERHANI SAMIR","FREY ANDRIN","RAUBAL IAN","SEIFERT NOE","SUI",248.06,8,0
"9","ABAD NESTOR","PLATA JOEL","WILLIAMS JOSHUA","DIALLO THIERNO","MIR NICOLAU","ESP",247.39275,9,0
"10","DAUSER LUKAS","KOCHAN LUCAS","HOSSEINI MILAN","BRENDEL PASCAL","TREBING GLENN","GER",247.39275,10,0
"11","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","CLAY ZACHARY","EMARD WILLIAM","CAN",246.52925,11,0
