"","sim25.X1","sim25.X2","sim25.X3","sim25.X4","sim25.X5","sim25.Country","sim25.score","sim25.rank","sim25.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAMOTO YUYA","CHIBA KENTA","KAYA KAZUMA","JPN",262.77875,1,3
"2","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","USA",259.5995,2,2
"3","LIN CHAOPAN","SHI CONG","ZHANG BOHENG","YANG JIAXING","LAN XINGYU","CHN",258.579,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","HEPWORTH HARRY","TULLOCH COURTNEY","GBR",257.67625,4,0
"5","DAUSER LUKAS","HOERR CARLO","KOCHAN LUCAS","TREBING GLENN","DUNKEL NILS","GER",249.11975,5,0
"6","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",248.49175,6,0
"7","MACCHINI CARLO","BARTOLINI NICOLA","CASALI LORENZO","SARRUGERIO MARCO","LODADIO MARCO","ITA",247.86375,7,0
"8","ABAD NESTOR","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","WILLIAMS JOSHUA","ESP",246.961,8,0
"9","ARICAN FERHAT","ASIL ADEM","COLAK IBRAHIM","ONDER AHMET","OENDER AHMET","TUR",246.804,9,0
"10","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","RAUBAL IAN","SEIFERT NOE","SUI",246.176,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.40975,11,0
