"","sim123.X1","sim123.X2","sim123.X3","sim123.X4","sim123.X5","sim123.Country","sim123.score","sim123.rank","sim123.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KAYA KAZUMA","TANIGAWA WATARU","RYOTA TSUMURA","JPN",262.347,1,3
"2","SU WEIDE","SUN WEI","ZHANG BOHENG","SHI CONG","LIU YANG","CHN",262.22925,2,2
"3","JUDA PAUL","BURKHART TAYLOR","PHILLIPS CURRAN","WALKER COLT","YOUNG KHOI","USA",259.01075,3,1
"4","WHITLOCK MAX","JARMAN JAKE","TULLOCH COURTNEY","FRASER JOE","HEPWORTH HARRY","GBR",254.34,4,0
"5","BARTOLINI NICOLA","MOZZATO NICOLO","ABBADINI YUMIN","SARRUGERIO MARCO","MACCHIATI MARIO","ITA",251.1215,5,0
"6","ASIL ADEM","OENDER AHMET","ONDER AHMET","GUNDOGDU YUNUS","COLAK IBRAHIM","TUR",248.88425,6,0
"7","BAUMANN CHRISTIAN","SEIFERT NOE","LANGENEGGER FLORIAN","RAUBAL IAN","SERHANI SAMIR","SUI",247.94225,7,0
"8","ABAD NESTOR","MIR NICOLAU","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","ESP",247.8245,8,0
"9","BRENDEL PASCAL","KOCHAN LUCAS","SCHULTZE TOM","DAUSER LUKAS","DUNKEL NILS","GER",247.1965,9,0
"10","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","BLAQUIERE FELIX","RAMPERSAD JAYSON","CAN",246.52925,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",245.4695,11,0
