"","sim126.X1","sim126.X2","sim126.X3","sim126.X4","sim126.X5","sim126.Country","sim126.score","sim126.rank","sim126.weight"
"1","CHIBA KENTA","KAYA KAZUMA","DOI RYOSUKE","HASHIMOTO DAIKI","TANIGAWA WATARU","JPN",261.7975,1,3
"2","SHI CONG","SU WEIDE","YANG JIAXING","ZHANG BOHENG","YOU HAO","CHN",260.463,2,2
"3","JUDA PAUL","WALKER COLT","WISKUS SHANE","GUIMARAES VITALIY","HONG ASHER","USA",257.36225,3,1
"4","FRASER JOE","HALL JAMES","REGINI GIARNNI","TULLOCH COURTNEY","JARMAN JAKE","GBR",250.92525,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","COLAK IBRAHIM","GUNDOGDU YUNUS","TUR",250.61125,5,0
"6","ABBADINI YUMIN","MOZZATO NICOLO","CASALI LORENZO","MACCHIATI MARIO","ROSA EDOARDO","ITA",250.101,6,0
"7","BAUMANN CHRISTIAN","SEIFERT NOE","TAMSEL DOMINIC","SERHANI SAMIR","RAUBAL IAN","SUI",249.0805,7,0
"8","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","ESP",248.06,8,0
"9","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","EMARD WILLIAM","RAMPERSAD JAYSON","CAN",247.1965,9,0
"10","DAUSER LUKAS","KOCHAN LUCAS","TREBING GLENN","BRENDEL PASCAL","DUNKEL NILS","GER",245.27325,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.17425,11,0
