"","sim134.X1","sim134.X2","sim134.X3","sim134.X4","sim134.X5","sim134.Country","sim134.score","sim134.rank","sim134.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","KOGA HIRAMATSU","MINORI HARUKI","KAYA KAZUMA","JPN",260.97325,1,3
"2","SHI CONG","ZHANG BOHENG","YANG JIAXING","YOU HAO","ZOU JINGYUAN","CHN",260.149,2,2
"3","MALONE BRODY","RICHARD FRED","WISKUS SHANE","GUIMARAES VITALIY","HONG ASHER","USA",257.83325,3,1
"4","FRASER JOE","TOBIN ADAM","REGINI GIARNNI","WHITLOCK MAX","TULLOCH COURTNEY","GBR",257.20525,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","COLAK IBRAHIM","OENDER AHMET","TUR",254.30075,5,0
"6","BRENDEL PASCAL","DAUSER LUKAS","KUNZ ALEXANDER","HOSSEINI MILAN","DUNKEL NILS","GER",248.688,6,0
"7","MOZZATO NICOLO","LEVANTESI MATTEO","SARRUGERIO MARCO","CASALI LORENZO","ROSA EDOARDO","ITA",248.1385,7,0
"8","ABAD NESTOR","JIMENEZ PAU","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","ESP",247.8245,8,0
"9","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",247.589,9,0
"10","SEIFERT NOE","SERHANI TAHA","TAMSEL DOMINIC","LANGENEGGER FLORIAN","RAUBAL IAN","SUI",247.39275,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",245.97975,11,0
