"","sim52.X1","sim52.X2","sim52.X3","sim52.X4","sim52.X5","sim52.Country","sim52.score","sim52.rank","sim52.weight"
"1","DOI RYOSUKE","KAMOTO YUYA","TANIGAWA WATARU","HASHIMOTO DAIKI","TANIGAWA KAKERU","JPN",260.10975,1,3
"2","SHI CONG","SUN WEI","ZHANG BOHENG","YANG JIAXING","LAN XINGYU","CHN",259.40325,2,2
"3","FRASER JOE","HALL JAMES","JARMAN JAKE","TULLOCH COURTNEY","LEWIS JAMIE","GBR",258.06875,3,1
"4","JUDA PAUL","MALONE BRODY","WALKER COLT","MOLDAUER YUL","BRIONES BRANDON","USA",257.4015,4,0
"5","ABBADINI YUMIN","LEVANTESI MATTEO","BARTOLINI NICOLA","CASALI LORENZO","ROSA EDOARDO","ITA",249.74775,5,0
"6","ABAD NESTOR","PLATA JOEL","DIALLO THIERNO","MIR NICOLAU","WILLIAMS JOSHUA","ESP",249.0805,6,0
"7","ARICAN FERHAT","ASIL ADEM","COLAK IBRAHIM","OENDER AHMET","KOSAK MEHMET","TUR",249.04125,7,0
"8","BAUMANN CHRISTIAN","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SEIFERT NOE","RAUBAL IAN","SUI",248.09925,8,0
"9","BRENDEL PASCAL","DAUSER LUKAS","HOSSEINI MILAN","SCHULTZE TOM","KOCHAN LUCAS","GER",246.37225,9,0
"10","COURNOYER RENE","ZAKUTNEY SAM","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","CAN",245.862,10,0
"11","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","VASHCHENKO ROMAN","UKR",241.03425,11,0
