"","sim46.X1","sim46.X2","sim46.X3","sim46.X4","sim46.X5","sim46.Country","sim46.score","sim46.rank","sim46.weight"
"1","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","HALE DALLAS","MOLDAUER YUL","USA",260.463,1,3
"2","DOI RYOSUKE","TANIGAWA WATARU","MINAMI KAZUKI","KAMOTO YUYA","CHIBA KENTA","JPN",260.10975,2,2
"3","SUN WEI","ZHANG BOHENG","SHI CONG","LAN XINGYU","ZOU JINGYUAN","CHN",260.0705,3,1
"4","FRASER JOE","JARMAN JAKE","TULLOCH COURTNEY","HALL JAMES","LEWIS JAMIE","GBR",254.2615,4,0
"5","ARICAN FERHAT","ASIL ADEM","OENDER AHMET","ONDER AHMET","COLAK IBRAHIM","TUR",251.23925,5,0
"6","HOERR CARLO","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",248.80575,6,0
"7","ABBADINI YUMIN","VANNUCCHI NICCOLO","LEVANTESI MATTEO","CASALI LORENZO","LODADIO MARCO","ITA",247.746,7,0
"8","ABAD NESTOR","PLATA JOEL","WILLIAMS JOSHUA","DIALLO THIERNO","JIMENEZ PAU","ESP",247.07875,8,0
"9","BAUMANN CHRISTIAN","SEIFERT NOE","SERHANI TAHA","SERHANI SAMIR","LANGENEGGER FLORIAN","SUI",246.92175,9,0
"10","COURNOYER RENE","DOLCI FELIX","EMARD WILLIAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",246.84325,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.9985,11,0
