"","sim125.X1","sim125.X2","sim125.X3","sim125.X4","sim125.X5","sim125.Country","sim125.score","sim125.rank","sim125.weight"
"1","CHIBA KENTA","HASHIMOTO DAIKI","TANIGAWA KAKERU","KAYA KAZUMA","RYOTA TSUMURA","JPN",262.347,1,3
"2","SHI CONG","SUN WEI","ZHANG BOHENG","LAN XINGYU","LIU YANG","CHN",260.50225,2,2
"3","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","WHITTENBURG DONNELL","YOUNG KHOI","USA",258.422,3,1
"4","FRASER JOE","HALL JAMES","JARMAN JAKE","KARNEJENKO PAVEL","TULLOCH COURTNEY","GBR",253.75125,4,0
"5","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",250.4935,5,0
"6","BARTOLINI NICOLA","CASALI LORENZO","SARRUGERIO MARCO","BONICELLI LORENZO","LODADIO MARCO","ITA",249.2375,6,0
"7","BRENDEL PASCAL","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","DUNKEL NILS","GER",248.6095,7,0
"8","FREY ANDRIN","SEIFERT NOE","LANGENEGGER FLORIAN","SERHANI SAMIR","TAMSEL DOMINIC","SUI",248.41325,8,0
"9","COURNOYER RENE","EMARD WILLIAM","ZAKUTNEY SAM","DOLCI FELIX","RAMPERSAD JAYSON","CAN",247.15725,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",246.0975,10,0
"11","JIMENEZ PAU","MIR NICOLAU","ABAD NESTOR","PLATA JOEL","DIALLO THIERNO","ESP",245.7835,11,0
