"","sim133.X1","sim133.X2","sim133.X3","sim133.X4","sim133.X5","sim133.Country","sim133.score","sim133.rank","sim133.weight"
"1","SHI CONG","SUN WEI","ZHANG BOHENG","YIN DEHANG","LIU YANG","CHN",262.7395,1,3
"2","DOI RYOSUKE","HASHIMOTO DAIKI","KAYA KAZUMA","SUGIMOTO KAITO","TANIGAWA KAKERU","JPN",262.07225,2,2
"3","JUDA PAUL","MALONE BRODY","YOUNG KHOI","PHILLIPS CURRAN","WALKER COLT","USA",257.4015,3,1
"4","FRASER JOE","JARMAN JAKE","WHITEHOUSE LUKE","WHITLOCK MAX","TULLOCH COURTNEY","GBR",252.80925,4,0
"5","COURNOYER RENE","DOLCI FELIX","ZAKUTNEY SAM","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",251.08225,5,0
"6","ABBADINI YUMIN","CASALI LORENZO","LEVANTESI MATTEO","MACCHIATI MARIO","LODADIO MARCO","ITA",250.8075,6,0
"7","ARICAN FERHAT","ASIL ADEM","ONDER AHMET","OENDER AHMET","COLAK IBRAHIM","TUR",249.7085,7,0
"8","KOCHAN LUCAS","DAUSER LUKAS","HOSSEINI MILAN","BRENDEL PASCAL","TREBING GLENN","GER",248.02075,8,0
"9","RAUBAL IAN","SERHANI SAMIR","FREY ANDRIN","SEIFERT NOE","LANGENEGGER FLORIAN","SUI",247.3535,9,0
"10","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",247.3535,10,0
"11","ABAD NESTOR","WILLIAMS JOSHUA","DIALLO THIERNO","JIMENEZ PAU","PLATA JOEL","ESP",246.804,11,0
